Fold,Event,corpus,f1,bal_acc
5,Shift/Hold future,CND-->SWB_ASR,0.77,0.58
1,Shift/Hold now,CND-->SWB_ASR,0.74,0.53
2,Shift/Hold now,CND-->SWB_ASR,0.73,0.52
3,Shift/Hold now,CND-->SWB_ASR,0.73,0.51
4,Shift/Hold now,CND-->SWB_ASR,0.73,0.53
5,Shift/Hold now,CND-->SWB_ASR,0.74,0.54
1,S-pred future ,CND-->SWB_ASR,0.59,0.60
2,S-pred future ,CND-->SWB_ASR,0.57,0.58
3,S-pred future ,CND-->SWB_ASR,0.58,0.58
4,S-pred future ,CND-->SWB_ASR,0.55,0.56
5,S-pred future ,CND-->SWB_ASR,0.59,0.59
1,S-pred now,CND-->SWB_ASR,0.56,0.57
2,S-pred now,CND-->SWB_ASR,0.53,0.55
3,S-pred now,CND-->SWB_ASR,0.53,0.55
4,S-pred now,CND-->SWB_ASR,0.54,0.56
5,S-pred now,CND-->SWB_ASR,0.56,0.58
1,backchannel,CND-->SWB_ASR,0.67,0.67
2,backchannel,CND-->SWB_ASR,0.63,0.65
3,backchannel,CND-->SWB_ASR,0.66,0.66
4,backchannel,CND-->SWB_ASR,0.61,0.62
5,backchannel,CND-->SWB_ASR,0.66,0.65
1,short/long,CND-->SWB_ASR,0.75,0.75
2,short/long,CND-->SWB_ASR,0.68,0.69
3,short/long,CND-->SWB_ASR,0.76,0.77
4,short/long,CND-->SWB_ASR,0.70,0.70
5,short/long,CND-->SWB_ASR,0.74,0.75
1,overlaps_after future,CND-->SWB_ASR,0.56,0.59
2,overlaps_after future,CND-->SWB_ASR,0.56,0.57
3,overlaps_after future,CND-->SWB_ASR,0.54,0.56
4,overlaps_after future,CND-->SWB_ASR,0.53,0.51
5,overlaps_after future,CND-->SWB_ASR,0.56,0.55
1,overlaps_after now,CND-->SWB_ASR,0.48,0.48
2,overlaps_after now,CND-->SWB_ASR,0.43,0.48
3,overlaps_after now,CND-->SWB_ASR,0.46,0.45
4,overlaps_after now,CND-->SWB_ASR,0.45,0.44
5,overlaps_after now,CND-->SWB_ASR,0.48,0.49
1,overlaps_before future,CND-->SWB_ASR,0.54,0.54
2,overlaps_before future,CND-->SWB_ASR,0.53,0.52
3,overlaps_before future,CND-->SWB_ASR,0.51,0.49
4,overlaps_before future,CND-->SWB_ASR,0.54,0.52
5,overlaps_before future,CND-->SWB_ASR,0.52,0.50
1,overlaps_before now,CND-->SWB_ASR,0.50,0.48
2,overlaps_before now,CND-->SWB_ASR,0.49,0.48
3,overlaps_before now,CND-->SWB_ASR,0.49,0.47
4,overlaps_before now,CND-->SWB_ASR,0.51,0.49
5,overlaps_before now,CND-->SWB_ASR,0.50,0.48
