,kind,metric,corpus,f1_weighted,f1_0,f1_1,bal_acc
15,ekstedt_events,shift_hold_p_future,CND_video_only,0.7190204501152039,0.8152618527412414,0.47252523303031924,0.6766819464038859
16,ekstedt_events,shift_hold_p_now,CND,0.8024805665016175,0.8650280475616455,0.6422827959060669,0.7733831465833567
17,ekstedt_events,shift_hold_p_now,CND_multimodal_early_fusion,0.8201242804527282,0.877985668182373,0.6719286918640137,0.7929849878499245
18,ekstedt_events,shift_hold_p_now,CND_multimodal_late_fusion,0.8198476672172547,0.8783958554267883,0.6698929309844971,0.7917796810457828
19,ekstedt_events,shift_hold_p_now,CND_video_only,0.6935395956039428,0.8014043092727661,0.4172745168209076,0.636183598015935
20,ekstedt_events,short_long,CND,0.6260679244995118,0.48320032954216,0.7075630068778992,0.619458902605498
21,ekstedt_events,short_long,CND_multimodal_early_fusion,0.6140746116638184,0.4801443815231323,0.6904715895652771,0.6116230699309729
22,ekstedt_events,short_long,CND_multimodal_late_fusion,0.6086689114570618,0.4561164975166321,0.6956884264945984,0.601234175201672
23,ekstedt_events,short_long,CND_video_only,0.7404586911201477,0.6185587763786315,0.8099932909011841,0.7149700504877116
24,gap_0,gap_0_p_future,CND,0.844383156299591,0.9034477829933166,0.619883120059967,0.8003228074763298
25,gap_0,gap_0_p_future,CND_multimodal_early_fusion,0.8582644581794738,0.9119741916656494,0.6541179537773132,0.8219714264753666
26,gap_0,gap_0_p_future,CND_multimodal_late_fusion,0.8610772132873535,0.9136716604232789,0.6611698508262634,0.8219627188373917
27,gap_0,gap_0_p_future,CND_video_only,0.7599778413772583,0.8608035087585449,0.3767473936080933,0.6786362069518841
28,gap_0,gap_0_p_now,CND,0.8056787967681884,0.8801843881607055,0.5224889039993286,0.7473144022101329
29,gap_0,gap_0_p_now,CND_multimodal_early_fusion,0.8233838319778443,0.8914893865585327,0.5645198464393616,0.769745076103235
30,gap_0,gap_0_p_now,CND_multimodal_late_fusion,0.8224337220191955,0.8921901464462281,0.5572949647903442,0.7684823177658681
31,gap_0,gap_0_p_now,CND_video_only,0.741145133972168,0.8542022109031677,0.3114241182804108,0.6385319685401531
32,gap_0,s_pred_p_future,CND,0.8406435012817383,0.819706916809082,0.8574993371963501,0.8391669211834214
33,gap_0,s_pred_p_future,CND_multimodal_early_fusion,0.861177134513855,0.8448299050331116,0.8743381977081299,0.8601291046212264
34,gap_0,s_pred_p_future,CND_multimodal_late_fusion,0.8590977787971497,0.8418684124946594,0.8729689955711365,0.8577833537425452
35,gap_0,s_pred_p_future,CND_video_only,0.7060490489006043,0.6597592115402222,0.7433166027069091,0.7018752698755245
36,gap_0,s_pred_p_now,CND,0.8306782245635986,0.8052520155906677,0.8511486768722534,0.8275442021402386
37,gap_0,s_pred_p_now,CND_multimodal_early_fusion,0.8441689133644104,0.8212495088577271,0.8626211285591125,0.8408436919258987
38,gap_0,s_pred_p_now,CND_multimodal_late_fusion,0.8447057127952575,0.8220103859901429,0.8629775285720825,0.841699490551604
39,gap_0,s_pred_p_now,CND_video_only,0.6792394876480102,0.6231099367141724,0.724428927898407,0.6740948698039089
40,gap_0,superset_p_future,CND,0.8643731117248535,0.9185061812400818,0.6319263696670532,0.8149345946424986
41,gap_0,superset_p_future,CND_multimodal_early_fusion,0.8778196930885315,0.9265486121177673,0.6685782909393311,0.8343238715535513
42,gap_0,superset_p_future,CND_multimodal_late_fusion,0.880261218547821,0.9281834721565246,0.6744835853576661,0.8362833848711995
43,gap_0,superset_p_future,CND_video_only,0.7857372164726257,0.8770723223686219,0.3935451924800873,0.6914475285106374
