,,Wall time,Step,Value,lr,batch_size,loss
,19,1721485485,20,0.07377925515,0.0001,4,2.360936165
,0,1721014577,1,0.06961946934,1.00E-05,8,2.227823019
,1,1721021531,2,0.06572964042,1.00E-05,8,2.103348494
,2,1721028489,3,0.06645221263,1.00E-05,8,2.126470804
,3,1721035449,4,0.0670414865,1.00E-05,8,2.145327568
,4,1721042419,5,0.06608210504,1.00E-05,8,2.114627361
,5,1721049377,6,0.06666328013,1.00E-05,8,2.133224964
,6,1721056346,7,0.06714699417,1.00E-05,8,2.148703814
,7,1721063306,8,0.06700976193,1.00E-05,8,2.144312382
,8,1721069267,9,0.06710428745,1.00E-05,8,2.147337198
,9,1721073886,10,0.06693390012,1.00E-05,8,2.141884804
,0,1721136570,1,0.06724283844,0.000363,4,2.15177083
,1,1721141846,2,0.0667488277,0.000363,4,2.135962486
,2,1721148123,3,0.06632908434,0.000363,4,2.122530699
,3,1721154401,4,0.06452852488,0.000363,4,2.064912796
,4,1721160683,5,0.06462112814,0.000363,4,2.067876101
,5,1721166952,6,0.06520582736,0.000363,4,2.086586475
,6,1721173231,7,0.06366179883,0.000363,4,2.037177563
,7,1721179508,8,0.0646873787,0.000363,4,2.069996119
,8,1721185789,9,0.06437919289,0.000363,4,2.060134172
,9,1721192072,10,0.06499864161,0.000363,4,2.079956532
,10,1721198370,11,0.06472917646,0.000363,4,2.071333647
,11,1721204651,12,0.06491060555,0.000363,4,2.077139378
,12,1721210941,13,0.06528106332,0.000363,4,2.088994026
,13,1721217241,14,0.06414759159,0.000363,4,2.052722931
,14,1721223550,15,0.06511814147,0.000363,4,2.083780527
,15,1721230560,16,0.06588547677,0.000363,4,2.108335257
,16,1721236861,17,0.06658767164,0.000363,4,2.130805492
,17,1721243156,18,0.06766398251,0.000363,4,2.16524744
,18,1721249454,19,0.0673673898,0.000363,4,2.155756474
,19,1721255750,20,0.06803269684,0.000363,4,2.177046299
,0,1720965343,1,0.07285384089,1.00E-05,32,2.331322908
,1,1720970709,2,0.07009122521,1.00E-05,32,2.242919207
,2,1720976078,3,0.06704352796,1.00E-05,32,2.145392895
,3,1720981443,4,0.06612318009,1.00E-05,32,2.115941763
,4,1720986815,5,0.06607122719,1.00E-05,32,2.11427927
,5,1720992174,6,0.06579946727,1.00E-05,32,2.105582952
,6,1720997544,7,0.06626544893,1.00E-05,32,2.120494366
,7,1721002916,8,0.06623211503,1.00E-05,32,2.119427681
,8,1721008279,9,0.06606458873,1.00E-05,32,2.114066839
,9,1721013636,10,0.06639430672,1.00E-05,32,2.124617815
,0,1720852631,1,0.07566770911,1.00E-05,64,2.421366692
,1,1720854298,2,0.07232115418,1.00E-05,64,2.314276934
,2,1720855963,3,0.07049502432,1.00E-05,64,2.255840778
,3,1720857629,4,0.06919917464,1.00E-05,64,2.214373589
,4,1720859294,5,0.06675272435,1.00E-05,64,2.136087179
,5,1720860960,6,0.06654236466,1.00E-05,64,2.129355669
,6,1720862626,7,0.0665673241,1.00E-05,64,2.130154371
,7,1720864293,8,0.06627928466,1.00E-05,64,2.120937109
,8,1720865959,9,0.06652271748,1.00E-05,64,2.128726959
,9,1720867627,10,0.06687418371,1.00E-05,64,2.139973879
,0,1721019014,1,0.08966869116,1.00E-06,32,2.869398117
,1,1721024377,2,0.08152087033,1.00E-06,32,2.60866785
,2,1721029741,3,0.07803401351,1.00E-06,32,2.497088432
,3,1721035099,4,0.07614991069,1.00E-06,32,2.436797142
,4,1721040454,5,0.07494056225,1.00E-06,32,2.398097992
,5,1721045819,6,0.07408896834,1.00E-06,32,2.370846987
,6,1721051185,7,0.07341149449,1.00E-06,32,2.349167824
,7,1721056551,8,0.07285939902,1.00E-06,32,2.331500769
,8,1721061911,9,0.07237640768,1.00E-06,32,2.316045046
,9,1721067280,10,0.07195582986,1.00E-06,32,2.302586555
,0,1720863920,1,0.06539216638,0.001,16,2.092549324
,1,1720869818,2,0.06664455682,0.001,16,2.132625818
,2,1720875725,3,0.065871723,0.001,16,2.107895136
,3,1720881616,4,0.06608254462,0.001,16,2.114641428
,4,1720887520,5,0.06580532342,0.001,16,2.10577035
,5,1720893426,6,0.06355182081,0.001,16,2.033658266
,6,1720899330,7,0.06417348236,0.001,16,2.053551435
,7,1720905232,8,0.06385587156,0.001,16,2.04338789
,8,1720911127,9,0.0652500093,0.001,16,2.088000298
,9,1720917031,10,0.06492526829,0.001,16,2.077608585
,0,1720869298,1,0.102817297,1.00E-06,64,3.290153503
,1,1720870965,2,0.08907686919,1.00E-06,64,2.850459814
,2,1720872631,3,0.083976008,1.00E-06,64,2.687232256
,3,1720874297,4,0.08098269999,1.00E-06,64,2.5914464
,4,1720875964,5,0.07892734557,1.00E-06,64,2.525675058
,5,1720877630,6,0.07748036087,1.00E-06,64,2.479371548
,6,1720879297,7,0.0763958469,1.00E-06,64,2.444667101
,7,1720880963,8,0.07557314634,1.00E-06,64,2.418340683
,8,1720882628,9,0.07489385456,1.00E-06,64,2.396603346
,9,1720884295,10,0.07432982326,1.00E-06,64,2.378554344
,0,1720819263,1,0.06692139804,0.001,64,2.141484737
,1,1720820931,2,0.06655623019,0.001,64,2.129799366
,2,1720822601,3,0.06470996141,0.001,64,2.070718765
,3,1720824270,4,0.06472030282,0.001,64,2.07104969
,4,1720825937,5,0.06227963045,0.001,64,1.992948174
,5,1720827606,6,0.06535869092,0.001,64,2.091478109
,6,1720829276,7,0.06600286067,0.001,64,2.112091541
,7,1720830945,8,0.06648509204,0.001,64,2.127522945
,8,1720832614,9,0.06716765463,0.001,64,2.149364948
,9,1720834281,10,0.06658358127,0.001,64,2.130674601
,0,1720835951,1,0.06315969676,0.0001,64,2.021110296
,1,1720837621,2,0.06169844791,0.0001,64,1.974350333
,2,1720839289,3,0.06068680435,0.0001,64,1.941977739
,3,1720840957,4,0.06044685468,0.0001,64,1.93429935
,4,1720842623,5,0.05975691229,0.0001,64,1.912221193
,5,1720844290,6,0.06096505746,0.0001,64,1.950881839
,6,1720845958,7,0.06037730724,0.0001,64,1.932073832
,7,1720847627,8,0.05893390253,0.0001,64,1.885884881
,8,1720849295,9,0.06000557169,0.0001,64,1.920178294
,9,1720850962,10,0.0589585267,0.0001,64,1.886672854
,0,1720805855,1,0.06130830944,0.000363,8,1.961865902
,1,1720812813,2,0.05944756418,0.000363,8,1.902322054
,2,1720819778,3,0.05875851586,0.000363,8,1.880272508
,3,1720826734,4,0.05913084373,0.000363,8,1.892186999
,4,1720833695,5,0.05826642364,0.000363,8,1.864525557
,5,1720840661,6,0.05895121023,0.000363,8,1.886438727
,6,1720847622,7,0.05819602683,0.000363,8,1.862272859
,7,1720854579,8,0.0588584207,0.000363,8,1.883469462
,8,1720861537,9,0.05879891291,0.000363,8,1.881565213
,9,1720868498,10,0.05942958966,0.000363,8,1.901746869
,0,1720858051,1,0.06729390472,0.001,32,2.153404951
,1,1720863420,2,0.06641117483,0.001,32,2.125157595
,2,1720868792,3,0.06172226742,0.001,32,1.975112557
,3,1720874153,4,0.06473506987,0.001,32,2.071522236
,4,1720879525,5,0.0648586303,0.001,32,2.07547617
,5,1720884896,6,0.06575340778,0.001,32,2.104109049
,6,1720890264,7,0.06343093514,0.001,32,2.029789925
,7,1720895620,8,0.06551068276,0.001,32,2.096341848
,8,1720900987,9,0.06600493938,0.001,32,2.11215806
,9,1720906353,10,0.06605963409,0.001,32,2.113908291
