f1_weighted,f1_0,f1_1,kind,metric,bal_acc,corpus
0.7570201159,0.8103197813,0.66015625,gap_1000,1000,0.7472276935,CND_multimodal_late_fusion
0.7505462766,0.7883495092,0.6818447113,gap_1000,1000,0.7528934509,CND_multimodal_late_fusion
0.7560545206,0.8003014326,0.6756426096,gap_1000,1000,0.7587406873,CND_multimodal_late_fusion
0.7467638254,0.7932659984,0.6659412384,gap_1250,1250,0.7515472135,CND_multimodal_late_fusion
0.7514228821,0.8082634211,0.6526315808,gap_1250,1250,0.7529354514,CND_multimodal_late_fusion
0.7471417189,0.816149056,0.6272040009,gap_1250,1250,0.7418892574,CND_multimodal_late_fusion
0.7522124052,0.7855626345,0.6942482591,gap_1250,1250,0.7583346519,CND_multimodal_late_fusion
0.7494698167,0.7857142687,0.6864753962,gap_1250,1250,0.754325182,CND_multimodal_late_fusion
0.7512549758,0.7935656905,0.6831275821,gap_1500,1500,0.7586752899,CND_multimodal_late_fusion
0.7645151615,0.809461236,0.6921443939,gap_1500,1500,0.7670829616,CND_multimodal_late_fusion
0.7551585436,0.8005284071,0.6821052432,gap_1500,1500,0.7468331847,CND_multimodal_late_fusion
0.7613422871,0.788051188,0.718336463,gap_1500,1500,0.7670160571,CND_multimodal_late_fusion
0.7564760447,0.7847025394,0.7110266089,gap_1500,1500,0.7606601249,CND_multimodal_late_fusion
0.8589659333,0.9279737473,0.4015594423,ekstedt_events,250,0.7093613372,SWB_GT
0.8650737405,0.9279456735,0.4483383596,ekstedt_events,250,0.7290083938,SWB_GT
0.863648355,0.9291375875,0.4295641184,ekstedt_events,250,0.7376226316,SWB_GT
0.849332273,0.9264774323,0.3379888237,ekstedt_events,250,0.6844826341,SWB_GT
0.8624930382,0.9312144518,0.4069845676,ekstedt_events,250,0.714276609,SWB_GT
0.8555524349,0.9251115322,0.4637354314,gap_0,0,0.7311716165,SWB_GT
0.8634596467,0.9265375137,0.5081502199,gap_0,0,0.7517771213,SWB_GT
0.8610238433,0.9278101325,0.4848257899,gap_0,0,0.7593506681,SWB_GT
0.8458785415,0.9243383408,0.4039247632,gap_0,0,0.7166255255,SWB_GT
0.8590983152,0.9224546552,0.5022206903,gap_0,0,0.7427391607,SWB_GT
0.8524304032,0.925391078,0.373737365,gap_500,500,0.6960702088,SWB_GT
0.8533601165,0.9228203297,0.3976331353,gap_500,500,0.7087186811,SWB_GT
0.8528787494,0.9221193194,0.3985931873,gap_500,500,0.7080537673,SWB_GT
