,f1_weighted,f1_0,f1_1,kind,metric,bal_acc,corpus
2,0.7939915657043457,0.8858783841133118,0.4124336540699005,ekstedt_events,shift_hold_p_future_before,0.6330284503848492,SWB_ASR
3,0.7796849608421326,0.883396327495575,0.3490259647369385,ekstedt_events,shift_hold_p_future_before,0.6014049447960197,SWB_ASR
4,0.7864148616790771,0.8864628672599792,0.3709677457809448,ekstedt_events,shift_hold_p_future_before,0.612005796456805,SWB_ASR
0,0.8590330481529236,0.9212819337844849,0.5353094935417175,gap_0,shift_hold_p_future_after,0.7100653883937105,SWB_ASR
1,0.8645576238632202,0.9252962470054626,0.5486882925033569,gap_0,shift_hold_p_future_after,0.7148539299954,SWB_ASR
2,0.8619676232337952,0.9251959919929504,0.5331504344940186,gap_0,shift_hold_p_future_after,0.703649595185788,SWB_ASR
3,0.8529048562049866,0.9226069450378418,0.49042144417762756,gap_0,shift_hold_p_future_after,0.6779581812845548,SWB_ASR
4,0.8484709858894348,0.9186462759971619,0.48352667689323425,gap_0,shift_hold_p_future_after,0.6771152531608478,SWB_ASR
0,0.8344555497169495,0.9121783971786499,0.43026003241539,gap_0,shift_hold_p_future_before,0.6493158998872361,SWB_ASR
1,0.8370683789253235,0.9099344611167908,0.45813027024269104,gap_0,shift_hold_p_future_before,0.667568356653932,SWB_ASR
2,0.8339360356330872,0.9116896390914917,0.42958077788352966,gap_0,shift_hold_p_future_before,0.6491804135034999,SWB_ASR
3,0.8240125179290771,0.9039124846458435,0.4084952473640442,gap_0,shift_hold_p_future_before,0.6405369953883925,SWB_ASR
4,0.8223689198493958,0.9077592492103577,0.37829911708831787,gap_0,shift_hold_p_future_before,0.6227662876388897,SWB_ASR
0,0.7850600481033325,0.8855151534080505,0.38005390763282776,gap_500,shift_hold_p_future_after,0.6154880594582549,SWB_ASR
1,0.792341411113739,0.8857070803642273,0.41591784358024597,gap_500,shift_hold_p_future_after,0.6334917201674923,SWB_ASR
2,0.7834419012069702,0.884126603603363,0.37751004099845886,gap_500,shift_hold_p_future_after,0.6141770998358113,SWB_ASR
3,0.7783031463623047,0.8837670087814331,0.3531034588813782,gap_500,shift_hold_p_future_after,0.6027947552746031,SWB_ASR
4,0.7832226753234863,0.8824412226676941,0.38320210576057434,gap_500,shift_hold_p_future_after,0.6168405928530805,SWB_ASR
0,0.7782933712005615,0.8716509342193604,0.4019024968147278,gap_500,shift_hold_p_future_before,0.6264707414876315,SWB_ASR
1,0.7810999751091003,0.8815000057220459,0.37631580233573914,gap_500,shift_hold_p_future_before,0.6134071535712979,SWB_ASR
2,0.7768921852111816,0.8876349329948425,0.33040934801101685,gap_500,shift_hold_p_future_before,0.5937555085248406,SWB_ASR
3,0.7789777517318726,0.871454119682312,0.4061393141746521,gap_500,shift_hold_p_future_before,0.6288554130714592,SWB_ASR
4,0.779267430305481,0.8849294781684875,0.35326841473579407,gap_500,shift_hold_p_future_before,0.6030486324446154,SWB_ASR
0,0.7679353356361389,0.8761133551597595,0.331877738237381,gap_750,shift_hold_p_future_after,0.5917947636248583,SWB_ASR
1,0.7759226560592651,0.875511884689331,0.374485582113266,gap_750,shift_hold_p_future_after,0.6120266125275748,SWB_ASR
2,0.7653447389602661,0.8771647214889526,0.31460675597190857,gap_750,shift_hold_p_future_after,0.5844692874908816,SWB_ASR
3,0.7641010284423828,0.8790063858032227,0.30092594027519226,gap_750,shift_hold_p_future_after,0.5792882818748297,SWB_ASR
4,0.7703012824058533,0.8827530741691589,0.3170163035392761,gap_750,shift_hold_p_future_after,0.5870004658071207,SWB_ASR
0,0.7660971879959106,0.8808000087738037,0.3037383258342743,gap_750,shift_hold_p_future_before,0.580993311712852,SWB_ASR
1,0.7740968465805054,0.8706076741218567,0.38506877422332764,gap_750,shift_hold_p_future_before,0.617233984584421,SWB_ASR
2,0.7755160331726074,0.8855999708175659,0.3317756950855255,gap_750,shift_hold_p_future_before,0.5938601348204006,SWB_ASR
3,0.7767814993858337,0.867308497428894,0.41187384724617004,gap_750,shift_hold_p_future_before,0.6323243775322769,SWB_ASR
4,0.7680991888046265,0.8825878500938416,0.3066037595272064,gap_750,shift_hold_p_future_before,0.5826983415508741,SWB_ASR
0,0.7358064651489258,0.8466818928718567,0.3277592062950134,gap_1000,shift_hold_p_future_after,0.5808304860575333,SWB_ASR
1,0.7399473190307617,0.8477429151535034,0.3432343304157257,gap_1000,shift_hold_p_future_after,0.5887615268746096,SWB_ASR
2,0.742755651473999,0.8503816723823547,0.3466666638851166,gap_1000,shift_hold_p_future_after,0.5911311951210552,SWB_ASR
3,0.7436738610267639,0.8703296780586243,0.2775510251522064,gap_1000,shift_hold_p_future_after,0.5680315220985341,SWB_ASR
4,0.7399200201034546,0.8545591831207275,0.3180212080478668,gap_1000,shift_hold_p_future_after,0.5786812520665712,SWB_ASR
0,0.7477086186408997,0.8487654328346252,0.3757961690425873,gap_1000,shift_hold_p_future_before,0.6059508064219846,SWB_ASR
1,0.742560863494873,0.849273145198822,0.34983497858047485,gap_1000,shift_hold_p_future_before,0.5924583930342775,SWB_ASR
2,0.7545512914657593,0.8650674819946289,0.3478260934352875,gap_1000,shift_hold_p_future_before,0.5953010764539476,SWB_ASR
3,0.7670562267303467,0.8639143705368042,0.41059601306915283,gap_1000,shift_hold_p_future_before,0.6265200778867703,SWB_ASR
4,0.7405261993408203,0.8698830604553223,0.26446279883384705,gap_1000,shift_hold_p_future_before,0.5630074580256439,SWB_ASR
0,0.677004337310791,0.7830342650413513,0.39269405603408813,gap_1250,shift_hold_p_future_after,0.5863050906860597,SWB_ASR
1,0.6820067763328552,0.7751677632331848,0.43220338225364685,gap_1250,shift_hold_p_future_after,0.6068518356260405,SWB_ASR
2,0.6812067031860352,0.8123077154159546,0.32967033982276917,gap_1250,shift_hold_p_future_after,0.5683869271882941,SWB_ASR
3,0.6890323162078857,0.8118196129798889,0.35978835821151733,gap_1250,shift_hold_p_future_after,0.5811355471830368,SWB_ASR
4,0.6868643760681152,0.8201219439506531,0.3295454680919647,gap_1250,shift_hold_p_future_after,0.5722129735097403,SWB_ASR
0,0.6993305683135986,0.8038585186004639,0.41904762387275696,gap_1250,shift_hold_p_future_before,0.6072315196121382,SWB_ASR
1,0.6859939098358154,0.7792642116546631,0.43589743971824646,gap_1250,shift_hold_p_future_before,0.6101521656590437,SWB_ASR
2,0.6993122100830078,0.8180404305458069,0.380952388048172,gap_1250,shift_hold_p_future_before,0.5932854347381641,SWB_ASR
3,0.7235292196273804,0.8288853764533997,0.44102564454078674,gap_1250,shift_hold_p_future_before,0.6259090510820994,SWB_ASR
4,0.6898108720779419,0.8166409730911255,0.34972676634788513,gap_1250,shift_hold_p_future_before,0.5788866497269196,SWB_ASR
0,0.6132417321205139,0.7306272983551025,0.365217387676239,gap_1500,shift_hold_p_future_after,0.5472174341295247,SWB_ASR
1,0.6164476871490479,0.7058823704719543,0.42748090624809265,gap_1500,shift_hold_p_future_after,0.5693179019945827,SWB_ASR
2,0.6373056769371033,0.732824444770813,0.4354838728904724,gap_1500,shift_hold_p_future_after,0.584154149224329,SWB_ASR
3,0.630001962184906,0.7490909099578857,0.37837839126586914,gap_1500,shift_hold_p_future_after,0.5624846097020438,SWB_ASR
4,0.6373056769371033,0.732824444770813,0.4354838728904724,gap_1500,shift_hold_p_future_after,0.584154149224329,SWB_ASR
0,0.6280652284622192,0.7426470518112183,0.38596490025520325,gap_1500,shift_hold_p_future_before,0.5629155380448165,SWB_ASR
1,0.6343387961387634,0.7258687019348145,0.4409448802471161,gap_1500,shift_hold_p_future_before,0.5845850775671017,SWB_ASR
2,0.6313283443450928,0.730038046836853,0.42276424169540405,gap_1500,shift_hold_p_future_before,0.5760896330952967,SWB_ASR
3,0.644942581653595,0.760869562625885,0.4000000059604645,gap_1500,shift_hold_p_future_before,0.5781827136173356,SWB_ASR
4,0.6353572010993958,0.7735191583633423,0.34343433380126953,gap_1500,shift_hold_p_future_before,0.5607608963309529,SWB_ASR
0,1.0,1.0,0.0,gap_2000,shift_hold_p_future_after,1.0,SWB_ASR
1,1.0,1.0,0.0,gap_2000,shift_hold_p_future_after,1.0,SWB_ASR
2,1.0,1.0,0.0,gap_2000,shift_hold_p_future_after,1.0,SWB_ASR
3,1.0,1.0,0.0,gap_2000,shift_hold_p_future_after,1.0,SWB_ASR
4,1.0,1.0,0.0,gap_2000,shift_hold_p_future_after,1.0,SWB_ASR
0,1.0,1.0,0.0,gap_2000,shift_hold_p_future_before,1.0,SWB_ASR
1,1.0,1.0,0.0,gap_2000,shift_hold_p_future_before,1.0,SWB_ASR
2,1.0,1.0,0.0,gap_2000,shift_hold_p_future_before,1.0,SWB_ASR
3,1.0,1.0,0.0,gap_2000,shift_hold_p_future_before,1.0,SWB_ASR
4,1.0,1.0,0.0,gap_2000,shift_hold_p_future_before,1.0,SWB_ASR
0,0.8329590559005737,0.8834080696105957,0.7037481069564819,ekstedt_events,shift_hold_p_future_after,0.7946061128607012,CND
1,0.8346400260925293,0.8841856122016907,0.7077428102493286,ekstedt_events,shift_hold_p_future_after,0.7979047386927742,CND
2,0.8347795009613037,0.8858115077018738,0.7040753960609436,ekstedt_events,shift_hold_p_future_after,0.7934310871494683,CND
3,0.8257155418395996,0.8809329271316528,0.6842918992042542,ekstedt_events,shift_hold_p_future_after,0.7784043433483929,CND
4,0.8338941335678101,0.8833629488945007,0.7071937918663025,ekstedt_events,shift_hold_p_future_after,0.7979005310127676,CND
0,0.8147083520889282,0.8713302612304688,0.6696873307228088,ekstedt_events,shift_hold_p_future_before,0.7702355498326373,CND
1,0.8162567615509033,0.8727678656578064,0.6715195775032043,ekstedt_events,shift_hold_p_future_before,0.771196125894922,CND
2,0.8164578676223755,0.8731220364570618,0.6713286638259888,ekstedt_events,shift_hold_p_future_before,0.7708801415541672,CND
3,0.8034828901290894,0.8627913594245911,0.6515809893608093,ekstedt_events,shift_hold_p_future_before,0.7581589933496641,CND
4,0.8122498989105225,0.8718307614326477,0.6596502065658569,ekstedt_events,shift_hold_p_future_before,0.7616246480994708,CND
